"","subwatershed","area","perimeter","circulatory_ratio","relief","avg_slope","watershed_length","elongation_ratio","drainage_density","shape_factor","relief_ratio","ruggedness","aae_area","buildings_aae_count","x_area","buildings_x_count","water_bodies_area","dams_count","bridges_count","streets_km","railroads_km","population","population_density","avg_median_income","housing_density","population_change","dependent_population_pct","dist_to_stream_avg..m.","dist_to_stream_stdev..m.","lu_22_area","lu_23_area","lu_24_area","lu_41_area","lu_82_area","avg_impervious_percent","orb100yr06h","orb100yr12h","orb100yr24h","orb25yr06h","orb25yr12h","orb25yr24h","orb2yr06h","orb2yr12h","orb2yr24h","orb50yr06h","orb50yr12h","orb50yr24h","orb100yr06ha_am","orb100yr12ha_am","orb100yr24ha_am","orb25yr06ha_am","orb25yr12ha_am","orb25yr24ha_am","orb2yr06ha_am","orb2yr12ha_am","orb2yr24ha_am","orb50yr06ha_am","orb50yr12ha_am","orb50yr24ha_am","File"
"1456",51202070903,67.75254097,42.91364619,0.462322062,100,2.12080121,2.467215379,3.764530235,1.504534564,0.089843888,0.040531524,0.150453456,7.094229412,11,0,0,0.570616124,1,14,78.9535623,0,16914,249.6437736,52477,5.313453855,564,39.2,258.8222258,223.3168589,0.185627801,0.027872425,0.004410513,14.93544143,40.70977287,0.353838176,5198,5867,6888,3957,4546,5360,2193,2596,3091,4551,5183,6100,5177,5843,6860,3941,4527,5338,2019,2390,2846,4532,5162,6075,"IN_subwatershed_data_885_1070.csv"
"1457",51202040105,50.93856733,51.72905115,0.239214536,0,0,8.557467938,0.941094297,0.716314276,1.437619104,0,0,4.186693371,27,0.019627471,0,0.230441792,1,13,116.501423,13.05422703,14728,289.1325919,53913.5,13.64388589,-896,40.625,374.8843435,341.7578547,1.018820459,0.114193919,0.036358393,4.810999253,38.66720707,1.193165302,4329,4957,5709,3478,4039,4681,2081,2472,2895,3898,4499,5196,4311,4937,5686,3464,4022,4662,1916,2276,2665,3882,4481,5175,"IN_subwatershed_data_885_1070.csv"
"1458",71200010807,76.02119343,43.92859009,0.495051087,27.91895262,0.794569552,2.67740685,3.674582739,2.090476261,0.094296171,0.010427609,0.058363908,14.35162395,23,0.054298567,0,0.268241153,0,2,209.4600341,19.72108752,17770,233.7506056,61457.25,4.998606084,1229,42.4,247.9071932,164.5741127,1.440429961,0.14499323,0.02583649,9.312963574,54.16796859,0.961492002,5165,5852,6875,3910,4461,5238,2118,2455,2843,4524,5143,6027,5144,5828,6847,3894,4443,5217,1950,2260,2617,4505,5122,6002,"IN_subwatershed_data_885_1070.csv"
"1459",40400010507,44.8461881,38.11926211,0.38783449,39.93100649,1.657383084,2.965550826,2.548076454,1.443228439,0.196103439,0.013464954,0.057629564,4.655019425,59,0.543200054,120,1.536968748,1,6,174.814709,25.06610605,34327,765.4385234,60183.16667,113.2314744,-1002,37.8,442.584922,285.0800445,6.826382802,3.730752996,1.733645824,4.485792841,11.24564142,14.58778667,5342,6064,7302,3981,4552,5505,2110,2456,2932,4646,5291,6366,5320,6039,7272,3965,4533,5482,1942,2261,2699,4627,5269,6340,"IN_subwatershed_data_885_1070.csv"
"1460",51201020103,55.24098266,39.38617395,0.447490346,0,0,3.613317801,2.321023814,0.822971734,0.236347453,0,0,4.176917089,122,0.039510252,46,0.17149017,0,7,129.7950535,11.37080131,12849,232.5990484,47715.5,27.95026311,111,43.025,388.742291,200.7659507,2.525520801,0.820461939,0.388461082,4.153522797,42.86025963,3.499682426,4195,4787,5446,3320,3802,4402,1947,2254,2670,3747,4282,4919,4178,4767,5424,3306,3786,4384,1792,2075,2458,3732,4264,4899,"IN_subwatershed_data_885_1070.csv"
"1461",51202090803,42.86380827,33.8145811,0.471077753,52.71942446,2.433046341,3.101806319,2.381692888,1.80786915,0.224459814,0.016996362,0.095309821,8.167913915,54,0,0,1.506646073,0,12,69.67500765,4.543825534,7866,183.5114591,59284,11.05828015,262,40.7,187.0107754,130.1137234,0.627435886,0.184625863,0.164531493,3.051154394,33.00800024,1.372297525,5158,5959,7231,3998,4662,5619,2276,2692,3219,4561,5293,6399,5137,5935,7202,3982,4643,5596,2095,2478,2964,4542,5271,6373,"IN_subwatershed_data_885_1070.csv"
"1462",51202081206,80.26378425,54.25270291,0.342678404,109,5.095300674,6.018656168,1.679636646,0.98484976,0.451314655,0.018110355,0.107348624,1.428749548,1,0,0,0.191493063,0,9,97.25593393,2.801310522,24187,301.3438779,53836.6,8.845832609,150,42.52,721.1312371,585.4282294,0.388757818,0.279929208,0.032318969,32.65430957,14.58923018,0.617725909,5113,5824,6948,3962,4576,5487,2256,2658,3203,4519,5183,6201,5092,5800,6920,3946,4557,5465,2077,2447,2949,4500,5162,6176,"IN_subwatershed_data_885_1070.csv"
"1463",51202080806,102.175423,78.79742875,0.206791277,108,5.409243107,3.811779463,2.99226819,1.274221933,0.142203108,0.028333224,0.137615969,14.63093182,29,0,0,0.471907114,1,14,172.8820648,16.16616185,23740,232.3455025,62003.4,18.90865673,-173,40.26,409.2095133,313.8622797,0.770397898,0.32462848,0.145453012,39.8761952,12.75387148,0.837554038,5199,5858,6810,3964,4550,5364,2192,2597,3125,4556,5183,6071,5178,5834,6782,3948,4531,5342,2018,2391,2877,4537,5162,6046,"IN_subwatershed_data_885_1070.csv"
"1464",51202011405,68.27005943,49.96278159,0.343674197,70,3.349430323,2.911806358,3.201899599,1.289802203,0.124192308,0.02404006,0.090286154,3.130330211,14,0.071036379,1,0.877377818,0,12,114.8347315,4.370810584,30231,442.8149068,76323.25,21.09270172,3099,40.825,441.9994687,362.4052659,0.889502674,0.19415139,0.063699579,19.56151416,29.90345426,0.91876179,4863,5474,6038,3736,4293,4883,2090,2492,2966,4280,4868,5454,4843,5452,6013,3721,4275,4863,1924,2294,2731,4262,4848,5432,"IN_subwatershed_data_885_1070.csv"
"1465",51201030511,55.207516,43.8176771,0.36133445,23,0.55122602,3.458665782,2.424072281,0.719738292,0.21668008,0.006649963,0.016553981,2.395379741,401,0.257603384,181,0.304570985,0,23,324.9820548,41.69170038,49711,900.438991,42223.66667,137.7710962,-1451,39.33333333,740.7369884,476.8276845,11.93084835,4.497465915,2.834142864,4.55863471,20.19371809,18.35244179,4579,5171,6018,3581,4076,4763,2074,2397,2792,4070,4614,5377,4560,5150,5993,3566,4059,4743,1909,2207,2570,4053,4595,5355,"IN_subwatershed_data_885_1070.csv"
"1466",51401040605,60.2034888,48.84600524,0.317083337,74,3.317195177,3.564967734,2.455897775,0.219291333,0.211100639,0.020757551,0.016227559,0,0,0,0,0.501872552,1,2,97.59855599,0,13689,227.3788492,50326.5,20.59681299,670,37.8,1729.077758,1450.619821,0.352770705,0.094107372,0.032080256,16.06162486,23.31144836,0.59799701,4947,5708,6882,3859,4496,5402,2231,2638,3151,4387,5084,6124,4927,5685,6854,3843,4478,5380,2054,2429,2901,4369,5063,6099,"IN_subwatershed_data_885_1070.csv"
"1467",51202050202,96.21667886,67.29975687,0.266952035,13,0.022876844,4.254307006,2.601665234,1.401098485,0.188108011,0.003055727,0.01821428,5.985339781,23,0.030620701,1,0.225479519,0,15,120.2723553,0,15571,161.8326488,52912.25,8.283387136,6,40.425,249.8450029,162.2126863,1.141650621,0.18757252,0.030026023,9.870327328,74.46816314,0.71610862,4482,5109,5781,3539,4102,4736,2065,2459,2927,4001,4601,5258,4464,5088,5757,3524,4085,4717,1901,2264,2695,3984,4582,5236,"IN_subwatershed_data_885_1070.csv"
"1468",50800030503,56.76028372,45.62231539,0.342688694,45.17301325,0.384502321,3.429546472,2.478795197,1.181935144,0.207218644,0.013171716,0.053391572,2.456774443,21,0,0,0.276496867,0,5,69.7893947,0,16821,296.3515842,56912.25,5.567273088,150,40.45,314.3229304,193.781156,0.150406347,0.014921337,9e-04,27.62110553,18.62893106,0.246626168,4330,4960,5753,3483,4044,4717,2088,2477,2916,3903,4503,5235,4312,4940,5729,3469,4027,4698,1922,2280,2685,3887,4484,5214,"IN_subwatershed_data_885_1070.csv"
"1469",50800030401,56.58197862,47.96876818,0.30900881,14,0.087242335,3.108773548,2.730266475,1.390061636,0.17080479,0.004503384,0.019460863,7.075919332,67,0.011767984,0,0.126964017,1,12,81.11445207,11.93373041,20455,361.5108644,47467,19.72359446,-669,41.66666667,388.5459217,275.6103499,1.42072638,0.433574505,0.340240816,9.166518913,39.36171245,2.18736887,4229,4859,5684,3438,3990,4661,2091,2471,2883,3833,4428,5172,4212,4839,5661,3424,3974,4642,1925,2275,2654,3817,4410,5151,"IN_subwatershed_data_885_1070.csv"
"1470",71200011312,53.639637,46.94569617,0.305846931,40,0.984339356,7.244817643,1.140697569,1.174213243,0.978518603,0.005521188,0.04696853,5.650364721,10,0.01951468,2,0.031590505,0,1,16.89350484,2.328238411,6827,127.2752834,80861,0.428787391,28,40.1,415.2412449,272.9821982,0.189423137,0.008100001,0,0.451550907,13.11885533,0.834636807,5372,6108,7574,3959,4541,5732,2151,2512,3077,4668,5330,6617,5350,6083,7543,3943,4522,5709,1980,2313,2833,4649,5308,6590,"IN_subwatershed_data_885_1070.csv"
"1471",51201070301,44.85285109,38.99252121,0.370712546,0,0,7.674481105,0.984693487,0.559013151,1.3131308,0,0,0,0,0,0,0.101602625,0,7,67.48184966,4.821387111,9056,201.9046678,64652,7.357391827,-148,38.46666667,1137.741475,463.6837056,0.423917392,0.086190512,0.037197986,0.329020546,41.29794995,0.652355254,4909,5514,6328,3751,4279,4994,2136,2493,2914,4325,4893,5647,4889,5491,6302,3735,4261,4974,1966,2295,2683,4307,4873,5624,"IN_subwatershed_data_885_1070.csv"
"1472",51201070405,54.96717923,42.80425648,0.376998307,43,1.530583858,3.64287539,2.29647895,1.123752404,0.241426635,0.011803862,0.048321353,4.32978478,20,0,0,0.150438442,0,5,83.00968168,0,14280,259.7913919,70027.75,17.66508694,-1022,41.15,311.7957289,340.9612988,0.636678251,0.023368907,0.0018,7.342969307,40.45564383,0.642862976,4811,5432,6340,3695,4221,4989,2134,2486,2902,4252,4829,5648,4791,5410,6314,3680,4204,4969,1964,2289,2672,4234,4809,5625,"IN_subwatershed_data_885_1070.csv"
